map_height,map_total_halite,map_width,p0,score0,p1,score1,scoreDiff,avgHalite
40,272742,40,"1.00",79050,"2.00",53541,25509,170.46375
48,325866,48,"2.00",55746,"1.00",63277,-7531,141.43489583333334
56,513146,56,"2.00",70434,"1.00",74896,-4462,163.63073979591837
64,1005456,64,"2.00",101339,"1.00",244788,-143449,245.47265625
32,198948,32,"1.00",61614,"2.00",48985,12629,194.28515625
40,243226,40,"2.00",48515,"1.00",49214,-699,152.01625
48,287944,48,"2.00",34774,"1.00",37289,-2515,124.97569444444444
56,440072,56,"2.00",61527,"1.00",73585,-12058,140.32908163265307
64,903284,64,"1.00",171285,"2.00",163589,7696,220.5283203125
32,136652,32,"1.00",37192,"2.00",35146,2046,133.44921875
40,296942,40,"1.00",68457,"2.00",67493,964,185.58875
48,386348,48,"2.00",65693,"1.00",72526,-6833,167.68576388888889
56,461222,56,"2.00",68690,"1.00",73479,-4789,147.0733418367347
64,555640,64,"1.00",72898,"2.00",56913,15985,135.654296875
32,169672,32,"1.00",44536,"2.00",37370,7166,165.6953125
40,322406,40,"2.00",75620,"1.00",84030,-8410,201.50375
48,352190,48,"2.00",68733,"1.00",71738,-3005,152.86024305555554
56,529194,56,"1.00",107752,"2.00",87650,20102,168.74808673469389
64,622802,64,"2.00",70271,"1.00",71189,-918,152.05126953125
32,192004,32,"2.00",46270,"1.00",46895,-625,187.50390625
40,295930,40,"1.00",70372,"2.00",66413,3959,184.95625
48,343990,48,"1.00",55974,"2.00",52550,3424,149.30121527777777
56,507840,56,"1.00",85238,"2.00",62489,22749,161.9387755102041
64,913540,64,"1.00",237995,"2.00",202013,35982,223.0322265625
32,210574,32,"1.00",69402,"2.00",61350,8052,205.638671875
40,287002,40,"1.00",70110,"2.00",51305,18805,179.37625
48,357814,48,"2.00",64384,"1.00",69472,-5088,155.30121527777777
56,474136,56,"1.00",81686,"2.00",68150,13536,151.19132653061226
64,688350,64,"1.00",39960,"2.00",38886,1074,168.05419921875
32,193054,32,"1.00",52876,"2.00",29062,23814,188.529296875
40,270234,40,"2.00",39502,"1.00",69388,-29886,168.89625
48,291800,48,"2.00",35610,"1.00",49270,-13660,126.64930555555556
56,478316,56,"2.00",66399,"1.00",67510,-1111,152.52423469387756
64,633490,64,"2.00",92799,"1.00",96228,-3429,154.66064453125
32,287404,32,"2.00",62758,"1.00",89429,-26671,280.66796875
40,234206,40,"1.00",50758,"2.00",47513,3245,146.37875
48,355134,48,"1.00",73168,"2.00",73013,155,154.13802083333334
56,524418,56,"2.00",86404,"1.00",87693,-1289,167.22512755102042
64,706724,64,"2.00",102912,"1.00",110898,-7986,172.5400390625
32,165180,32,"2.00",49157,"1.00",51928,-2771,161.30859375
40,239400,40,"2.00",44363,"1.00",62795,-18432,149.625
48,363396,48,"2.00",71321,"1.00",82254,-10933,157.72395833333334
56,551266,56,"1.00",101266,"2.00",99843,1423,175.78635204081633
64,587194,64,"2.00",69480,"1.00",77622,-8142,143.35791015625
32,179680,32,"2.00",38914,"1.00",52004,-13090,175.46875
40,291408,40,"2.00",66153,"1.00",68443,-2290,182.13
48,338070,48,"1.00",83814,"2.00",58477,25337,146.73177083333334
56,477754,56,"1.00",58904,"2.00",51271,7633,152.3450255102041
64,706252,64,"2.00",50089,"1.00",62559,-12470,172.4248046875
32,168902,32,"1.00",41722,"2.00",36690,5032,164.943359375
40,205664,40,"1.00",46716,"2.00",35365,11351,128.54
48,362802,48,"2.00",51397,"1.00",53033,-1636,157.46614583333334
56,391082,56,"1.00",62861,"2.00",62562,299,124.70727040816327
64,813220,64,"2.00",91134,"1.00",111509,-20375,198.5400390625
32,187802,32,"2.00",25771,"1.00",58245,-32474,183.400390625
40,210538,40,"2.00",35592,"1.00",42683,-7091,131.58625
48,290082,48,"1.00",58789,"2.00",54387,4402,125.90364583333333
56,511432,56,"2.00",57145,"1.00",67623,-10478,163.0841836734694
64,700740,64,"2.00",116039,"1.00",127162,-11123,171.0791015625
32,105740,32,"2.00",33222,"1.00",33613,-391,103.26171875
40,248676,40,"1.00",57678,"2.00",40182,17496,155.4225
48,372340,48,"1.00",80820,"2.00",73579,7241,161.60590277777777
56,383438,56,"2.00",64955,"1.00",70425,-5470,122.26977040816327
64,849054,64,"2.00",191087,"1.00",195360,-4273,207.28857421875
32,107322,32,"2.00",26947,"1.00",28963,-2016,104.806640625
40,219562,40,"1.00",49463,"2.00",48629,834,137.22625
48,454012,48,"2.00",99161,"1.00",113410,-14249,197.05381944444446
56,402756,56,"2.00",59508,"1.00",66797,-7289,128.4298469387755
64,726608,64,"1.00",160497,"2.00",141935,18562,177.39453125
32,150856,32,"1.00",44677,"2.00",43072,1605,147.3203125
40,302220,40,"1.00",94839,"2.00",74691,20148,188.8875
48,322392,48,"2.00",62004,"1.00",65111,-3107,139.92708333333334
56,482536,56,"1.00",62841,"2.00",58060,4781,153.86989795918367
64,737926,64,"2.00",133880,"1.00",135052,-1172,180.15771484375
32,206720,32,"1.00",69206,"2.00",46759,22447,201.875
40,184326,40,"2.00",33162,"1.00",39084,-5922,115.20375
48,362318,48,"1.00",78910,"2.00",75172,3738,157.25607638888889
56,549316,56,"1.00",147471,"2.00",141841,5630,175.16454081632654
64,555996,64,"2.00",60421,"1.00",61470,-1049,135.7412109375
32,201956,32,"1.00",59800,"2.00",54307,5493,197.22265625
40,282312,40,"2.00",60867,"1.00",67392,-6525,176.445
48,229910,48,"2.00",46125,"1.00",47857,-1732,99.78732638888889
56,507470,56,"2.00",89873,"1.00",90025,-152,161.82079081632654
64,775046,64,"2.00",127299,"1.00",150962,-23663,189.22021484375
32,169518,32,"1.00",49617,"2.00",43101,6516,165.544921875
40,279242,40,"1.00",70224,"2.00",61478,8746,174.52625
48,370710,48,"1.00",73450,"2.00",70522,2928,160.8984375
56,390904,56,"1.00",56982,"2.00",56864,118,124.65051020408163
64,521750,64,"2.00",50046,"1.00",89207,-39161,127.38037109375
32,184840,32,"2.00",37356,"1.00",46175,-8819,180.5078125
40,299544,40,"1.00",67387,"2.00",56705,10682,187.215
48,329028,48,"2.00",61769,"1.00",62667,-898,142.80729166666666
56,397100,56,"1.00",52509,"2.00",51143,1366,126.62627551020408
64,662642,64,"2.00",93001,"1.00",112558,-19557,161.77783203125
32,160576,32,"1.00",50072,"2.00",39459,10613,156.8125
40,288902,40,"1.00",70445,"2.00",68388,2057,180.56375
48,280152,48,"1.00",36852,"2.00",36699,153,121.59375
56,462028,56,"1.00",91667,"2.00",83982,7685,147.33035714285714
64,459140,64,"2.00",23158,"1.00",35486,-12328,112.0947265625
32,211316,32,"2.00",61104,"1.00",66832,-5728,206.36328125
40,291536,40,"1.00",74013,"2.00",62742,11271,182.21
48,357130,48,"2.00",67138,"1.00",67902,-764,155.00434027777777
56,403956,56,"1.00",67958,"2.00",65479,2479,128.8125
64,943086,64,"1.00",141855,"2.00",122707,19148,230.24560546875
32,180802,32,"2.00",31742,"1.00",49346,-17604,176.564453125
40,226682,40,"2.00",55246,"1.00",60434,-5188,141.67625
48,314102,48,"2.00",61732,"1.00",64582,-2850,136.32899305555554
56,340434,56,"2.00",44834,"1.00",47652,-2818,108.55676020408163
64,607140,64,"1.00",99086,"2.00",95062,4024,148.2275390625
32,138830,32,"2.00",31281,"1.00",34199,-2918,135.576171875
40,252836,40,"2.00",52117,"1.00",55421,-3304,158.0225
48,279138,48,"1.00",59717,"2.00",56461,3256,121.15364583333333
56,518332,56,"1.00",82972,"2.00",80996,1976,165.2844387755102
64,641194,64,"1.00",109245,"2.00",102524,6721,156.54150390625
32,206568,32,"1.00",68790,"2.00",60422,8368,201.7265625
40,294492,40,"1.00",70566,"2.00",55868,14698,184.0575
48,287148,48,"2.00",40725,"1.00",53212,-12487,124.63020833333333
56,335560,56,"2.00",43428,"1.00",47371,-3943,107.00255102040816
64,565816,64,"2.00",123849,"1.00",133509,-9660,138.138671875
32,198670,32,"2.00",50019,"1.00",63678,-13659,194.013671875
40,253920,40,"2.00",40614,"1.00",61722,-21108,158.7
48,351518,48,"2.00",65675,"1.00",67835,-2160,152.56857638888889
56,441114,56,"1.00",84036,"2.00",79608,4428,140.66135204081633
64,765230,64,"1.00",91669,"2.00",87164,4505,186.82373046875
32,172900,32,"1.00",43795,"2.00",39554,4241,168.84765625
40,215910,40,"1.00",50562,"2.00",48349,2213,134.94375
48,319200,48,"2.00",55706,"1.00",60057,-4351,138.54166666666666
56,511042,56,"1.00",111748,"2.00",110858,890,162.95982142857142
64,538066,64,"1.00",101806,"2.00",92078,9728,131.36376953125
32,173844,32,"2.00",44380,"1.00",45990,-1610,169.76953125
40,246982,40,"2.00",46228,"1.00",47793,-1565,154.36375
48,400830,48,"2.00",102762,"1.00",104009,-1247,173.97135416666666
56,352056,56,"2.00",31024,"1.00",41532,-10508,112.26275510204081
64,660632,64,"1.00",99102,"2.00",91518,7584,161.287109375
32,216878,32,"2.00",59963,"1.00",60313,-350,211.794921875
40,259994,40,"1.00",55943,"2.00",51093,4850,162.49625
48,206012,48,"2.00",39372,"1.00",42276,-2904,89.41493055555556
56,360872,56,"2.00",47427,"1.00",47851,-424,115.07397959183673
64,689826,64,"2.00",113441,"1.00",120832,-7391,168.41455078125
32,198454,32,"1.00",61919,"2.00",57962,3957,193.802734375
40,225598,40,"2.00",47898,"1.00",49201,-1303,140.99875
48,333956,48,"2.00",63682,"1.00",66723,-3041,144.94618055555554
56,406870,56,"2.00",35110,"1.00",52370,-17260,129.74170918367346
64,750468,64,"2.00",119705,"1.00",123304,-3599,183.2197265625
32,221660,32,"1.00",70459,"2.00",68080,2379,216.46484375
40,275672,40,"1.00",73228,"2.00",39385,33843,172.295
48,341676,48,"1.00",69797,"2.00",64293,5504,148.296875
56,518196,56,"2.00",84111,"1.00",87193,-3082,165.24107142857142
64,949452,64,"2.00",143778,"1.00",166736,-22958,231.7998046875
32,259424,32,"2.00",51658,"1.00",86356,-34698,253.34375
40,235144,40,"1.00",53382,"2.00",48560,4822,146.965
48,451102,48,"1.00",110402,"2.00",101089,9313,195.79079861111111
56,366754,56,"1.00",42876,"2.00",42403,473,116.94961734693878
64,392820,64,"2.00",73304,"1.00",73332,-28,95.9033203125
32,136334,32,"2.00",32783,"1.00",39036,-6253,133.138671875
40,250476,40,"2.00",54900,"1.00",63037,-8137,156.5475
48,370738,48,"2.00",48332,"1.00",74280,-25948,160.91059027777777
56,562232,56,"2.00",98570,"1.00",100631,-2061,179.28316326530611
64,696440,64,"2.00",127657,"1.00",130001,-2344,170.029296875
32,137472,32,"1.00",36400,"2.00",31766,4634,134.25
40,335080,40,"1.00",89175,"2.00",85616,3559,209.425
48,283214,48,"2.00",61789,"1.00",63660,-1871,122.92274305555556
56,356242,56,"1.00",55065,"2.00",43805,11260,113.59757653061224
64,525778,64,"2.00",91531,"1.00",101059,-9528,128.36376953125
32,137132,32,"2.00",30309,"1.00",34381,-4072,133.91796875
40,224556,40,"1.00",53337,"2.00",43097,10240,140.3475
48,423514,48,"2.00",79397,"1.00",84540,-5143,183.81684027777777
56,354498,56,"2.00",44292,"1.00",56843,-12551,113.04145408163265
64,625050,64,"2.00",74758,"1.00",85042,-10284,152.60009765625
32,141230,32,"1.00",36717,"2.00",34183,2534,137.919921875
40,200686,40,"2.00",46480,"1.00",48942,-2462,125.42875
48,347572,48,"2.00",56471,"1.00",65555,-9084,150.85590277777777
56,468350,56,"2.00",57698,"1.00",68276,-10578,149.34630102040816
64,674696,64,"2.00",154352,"1.00",156275,-1923,164.720703125
32,152834,32,"2.00",38902,"1.00",49274,-10372,149.251953125
40,224992,40,"2.00",53679,"1.00",57345,-3666,140.62
48,289848,48,"1.00",47388,"2.00",41079,6309,125.80208333333333
56,416082,56,"1.00",33321,"2.00",31891,1430,132.67920918367346
64,806774,64,"2.00",138351,"1.00",152240,-13889,196.96630859375
32,152080,32,"1.00",37784,"2.00",35454,2330,148.515625
40,173122,40,"1.00",36632,"2.00",34101,2531,108.20125
48,374268,48,"1.00",84057,"2.00",78618,5439,162.44270833333334
56,457242,56,"1.00",82970,"2.00",80638,2332,145.80420918367346
64,652668,64,"1.00",109964,"2.00",90514,19450,159.3427734375
32,248876,32,"2.00",67098,"1.00",69388,-2290,243.04296875
40,351286,40,"2.00",103326,"1.00",114776,-11450,219.55375
48,333460,48,"2.00",62449,"1.00",65550,-3101,144.73090277777777
56,486836,56,"2.00",50651,"1.00",64835,-14184,155.24107142857142
64,837846,64,"2.00",150331,"1.00",152899,-2568,204.55224609375
32,186310,32,"1.00",49673,"2.00",47654,2019,181.943359375
40,169572,40,"1.00",43227,"2.00",40338,2889,105.9825
48,237808,48,"2.00",30224,"1.00",31798,-1574,103.21527777777777
56,450520,56,"2.00",63701,"1.00",72861,-9160,143.66071428571428
64,879078,64,"2.00",73940,"1.00",202512,-128572,214.61865234375
32,123914,32,"2.00",28580,"1.00",31337,-2757,121.009765625
40,223820,40,"2.00",47180,"1.00",52583,-5403,139.8875
48,293966,48,"2.00",37114,"1.00",40922,-3808,127.58940972222223
56,429610,56,"2.00",65737,"1.00",68414,-2677,136.99298469387756
64,724604,64,"2.00",80579,"1.00",93130,-12551,176.9052734375
32,187478,32,"2.00",33299,"1.00",54912,-21613,183.083984375
40,208490,40,"2.00",34061,"1.00",36985,-2924,130.30625
48,260718,48,"1.00",49189,"2.00",44729,4460,113.15885416666667
56,441328,56,"1.00",72659,"2.00",65796,6863,140.7295918367347
64,830096,64,"2.00",93310,"1.00",112187,-18877,202.66015625
32,232546,32,"1.00",64953,"2.00",56135,8818,227.095703125
40,204896,40,"2.00",33705,"1.00",34730,-1025,128.06
48,363658,48,"1.00",72855,"2.00",71684,1171,157.83767361111111
56,390190,56,"1.00",76085,"2.00",67230,8855,124.42283163265306
64,529488,64,"1.00",84984,"2.00",81626,3358,129.26953125
32,221620,32,"2.00",52237,"1.00",65710,-13473,216.42578125
40,246132,40,"1.00",58723,"2.00",53618,5105,153.8325
48,302530,48,"1.00",50357,"2.00",49740,617,131.30642361111111
56,496824,56,"1.00",83357,"2.00",81065,2292,158.42602040816325
64,755860,64,"1.00",125506,"2.00",120547,4959,184.5361328125
32,152818,32,"1.00",47715,"2.00",43730,3985,149.236328125
40,198876,40,"2.00",29880,"1.00",41315,-11435,124.2975
48,388172,48,"2.00",80243,"1.00",103843,-23600,168.47743055555554
56,442008,56,"1.00",89468,"2.00",78347,11121,140.94642857142858
64,560950,64,"2.00",73882,"1.00",76048,-2166,136.95068359375
32,193984,32,"1.00",54113,"2.00",38386,15727,189.4375
40,213174,40,"2.00",53059,"1.00",59756,-6697,133.23375
48,513098,48,"2.00",117398,"1.00",126088,-8690,222.69878472222223
56,552460,56,"1.00",109310,"2.00",94050,15260,176.1670918367347
64,643754,64,"1.00",130161,"2.00",123913,6248,157.16650390625
32,162846,32,"1.00",42136,"2.00",41708,428,159.029296875
40,229836,40,"2.00",46611,"1.00",46896,-285,143.6475
48,292976,48,"2.00",47059,"1.00",64650,-17591,127.15972222222223
56,419748,56,"2.00",63346,"1.00",74985,-11639,133.84821428571428
64,746026,64,"2.00",152718,"1.00",159653,-6935,182.13525390625
32,232278,32,"2.00",63872,"1.00",64459,-587,226.833984375
40,290700,40,"2.00",56012,"1.00",68707,-12695,181.6875
48,323934,48,"2.00",64623,"1.00",66822,-2199,140.59635416666666
56,491534,56,"1.00",88091,"2.00",80209,7882,156.7391581632653
64,611672,64,"2.00",63230,"1.00",80216,-16986,149.333984375
32,152246,32,"1.00",38132,"2.00",36223,1909,148.677734375
40,289392,40,"2.00",62437,"1.00",70579,-8142,180.87
48,403410,48,"1.00",112343,"2.00",75271,37072,175.09114583333334
56,452362,56,"1.00",104053,"2.00",72851,31202,144.24808673469389
64,611264,64,"2.00",40113,"1.00",42798,-2685,149.234375
32,173594,32,"1.00",30634,"2.00",29432,1202,169.525390625
40,318154,40,"1.00",82645,"2.00",62214,20431,198.84625
48,295692,48,"2.00",52244,"1.00",57558,-5314,128.33854166666666
56,336232,56,"1.00",62125,"2.00",57677,4448,107.21683673469387
64,772352,64,"2.00",158476,"1.00",175092,-16616,188.5625
32,213924,32,"1.00",68787,"2.00",65644,3143,208.91015625
40,292926,40,"1.00",73773,"2.00",68117,5656,183.07875
48,348562,48,"2.00",70981,"1.00",72099,-1118,151.28559027777777
56,430126,56,"2.00",57994,"1.00",61298,-3304,137.1575255102041
64,536280,64,"1.00",94620,"2.00",78039,16581,130.927734375
32,224868,32,"2.00",66818,"1.00",74358,-7540,219.59765625
40,197294,40,"1.00",44732,"2.00",42049,2683,123.30875
48,317478,48,"2.00",52441,"1.00",58446,-6005,137.79427083333334
56,447142,56,"2.00",86640,"1.00",88375,-1735,142.58354591836735
64,355980,64,"2.00",46282,"1.00",49927,-3645,86.9091796875
32,189464,32,"1.00",54526,"2.00",45655,8871,185.0234375
40,316510,40,"1.00",81266,"2.00",52716,28550,197.81875
48,375926,48,"2.00",53898,"1.00",60814,-6916,163.16232638888889
56,522194,56,"2.00",99484,"1.00",102349,-2865,166.51594387755102
64,639234,64,"2.00",120876,"1.00",125302,-4426,156.06298828125
32,160984,32,"2.00",37183,"1.00",41251,-4068,157.2109375
40,276148,40,"1.00",73215,"2.00",68445,4770,172.5925
48,298828,48,"2.00",51500,"1.00",54804,-3304,129.69965277777777
56,466342,56,"2.00",90469,"1.00",93348,-2879,148.7059948979592
64,687588,64,"2.00",140308,"1.00",167125,-26817,167.8681640625
32,183528,32,"1.00",56911,"2.00",35963,20948,179.2265625
40,147642,40,"1.00",28083,"2.00",24874,3209,92.27625
48,374188,48,"2.00",76038,"1.00",84931,-8893,162.40798611111111
56,453118,56,"1.00",89200,"2.00",82707,6493,144.4891581632653
64,722742,64,"1.00",101391,"2.00",97310,4081,176.45068359375
32,208826,32,"1.00",62050,"2.00",54003,8047,203.931640625
40,197936,40,"1.00",48298,"2.00",44989,3309,123.71
48,293858,48,"2.00",55787,"1.00",58128,-2341,127.54253472222223
56,344124,56,"2.00",61379,"1.00",63325,-1946,109.73341836734694
64,797684,64,"2.00",135859,"1.00",143292,-7433,194.7470703125
32,169686,32,"2.00",36383,"1.00",40249,-3866,165.708984375
40,331944,40,"2.00",77471,"1.00",87758,-10287,207.465
48,415958,48,"1.00",94693,"2.00",86005,8688,180.53732638888889
56,376262,56,"2.00",64166,"1.00",69530,-5364,119.98150510204081
64,777838,64,"1.00",171930,"2.00",144372,27558,189.90185546875
32,209036,32,"1.00",64573,"2.00",52316,12257,204.13671875
40,233130,40,"2.00",42507,"1.00",43674,-1167,145.70625
48,420088,48,"2.00",73801,"1.00",87176,-13375,182.32986111111111
56,356418,56,"2.00",48996,"1.00",49131,-135,113.65369897959184
64,773726,64,"1.00",107744,"2.00",94414,13330,188.89794921875
32,178308,32,"2.00",40910,"1.00",43715,-2805,174.12890625
40,252836,40,"1.00",65488,"2.00",65247,241,158.0225
48,307898,48,"1.00",73895,"2.00",57934,15961,133.63628472222223
56,406912,56,"2.00",52707,"1.00",55591,-2884,129.75510204081633
64,590224,64,"2.00",71564,"1.00",76194,-4630,144.09765625
32,146396,32,"1.00",27288,"2.00",26521,767,142.96484375
40,302952,40,"1.00",82909,"2.00",46919,35990,189.345
48,401098,48,"2.00",70149,"1.00",92965,-22816,174.08767361111111
56,442244,56,"2.00",57623,"1.00",62378,-4755,141.0216836734694
64,754786,64,"1.00",116183,"2.00",100458,15725,184.27392578125
32,153434,32,"2.00",37156,"1.00",42069,-4913,149.837890625
40,216398,40,"2.00",48805,"1.00",50373,-1568,135.24875
48,352838,48,"1.00",81232,"2.00",61789,19443,153.14149305555554
56,422830,56,"1.00",58230,"2.00",48882,9348,134.8309948979592
64,508938,64,"2.00",58674,"1.00",64255,-5581,124.25244140625
32,157024,32,"1.00",38416,"2.00",30187,8229,153.34375
40,230338,40,"2.00",48866,"1.00",53391,-4525,143.96125
48,323914,48,"2.00",55223,"1.00",61727,-6504,140.58767361111111
56,462840,56,"2.00",82466,"1.00",88140,-5674,147.58928571428572
64,638962,64,"1.00",86564,"2.00",81865,4699,155.99658203125
32,145534,32,"1.00",44196,"2.00",8380,35816,142.123046875
40,307478,40,"2.00",63902,"1.00",66716,-2814,192.17375
48,504562,48,"1.00",127312,"2.00",115421,11891,218.99392361111111
56,402648,56,"2.00",58069,"1.00",70495,-12426,128.3954081632653
64,685752,64,"2.00",109544,"1.00",114063,-4519,167.419921875
32,160968,32,"1.00",48408,"2.00",37480,10928,157.1953125
40,233078,40,"1.00",59555,"2.00",44568,14987,145.67375
48,266074,48,"2.00",42066,"1.00",47975,-5909,115.48350694444444
56,529492,56,"2.00",97642,"1.00",130605,-32963,168.84311224489795
64,795866,64,"2.00",127576,"1.00",143084,-15508,194.30322265625
32,221524,32,"2.00",52464,"1.00",63378,-10914,216.33203125
40,265456,40,"2.00",56319,"1.00",63628,-7309,165.91
48,294646,48,"1.00",69622,"2.00",66998,2624,127.88454861111111
56,445436,56,"1.00",92640,"2.00",84193,8447,142.03954081632654
64,738374,64,"1.00",143003,"2.00",92697,50306,180.26708984375
32,218384,32,"2.00",48923,"1.00",75462,-26539,213.265625
40,272056,40,"2.00",57377,"1.00",62833,-5456,170.035
48,378894,48,"1.00",84285,"2.00",83324,961,164.45052083333334
56,396294,56,"1.00",55877,"2.00",46170,9707,126.36926020408163
64,581800,64,"1.00",134825,"2.00",95307,39518,142.041015625
32,228754,32,"1.00",79338,"2.00",63445,15893,223.392578125
40,313792,40,"2.00",62934,"1.00",74415,-11481,196.12
48,382790,48,"2.00",67485,"1.00",70470,-2985,166.14149305555554
56,478996,56,"1.00",74201,"2.00",67216,6985,152.74107142857142
64,731384,64,"2.00",137512,"1.00",138009,-497,178.560546875
32,243012,32,"1.00",91106,"2.00",52916,38190,237.31640625
40,282052,40,"2.00",69229,"1.00",75195,-5966,176.2825
48,308410,48,"1.00",57852,"2.00",37768,20084,133.85850694444446
56,569038,56,"1.00",108527,"2.00",77242,31285,181.45344387755102
64,609820,64,"1.00",108430,"2.00",108072,358,148.8818359375
32,213860,32,"2.00",53012,"1.00",54663,-1651,208.84765625
40,214588,40,"1.00",44261,"2.00",42570,1691,134.1175
48,463104,48,"1.00",121636,"2.00",99413,22223,201